Record ID,Record Status,Response Value,Response Status,Is Discarded,Username,User ID,Prompt (first 100 chars)
50254201-510e-43fb-82e2-c3e5f0f45c2c,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 立法院審查時問到。 請問國家核心關鍵技術的目的為何？是否會對產業造成重大影響？第一波清單包含哪些技術？後續時程規劃如何？ 幫我提供相關單位窗口的解釋。  ### 待評分的回覆:
866f6087-8e66-4773-9780-fbb8e72f5f33,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 立法院審查提問。  『請問臺南園區擴建進度如何？台積電是否考慮加碼投資臺南？』，模擬國科會專業人員回應。  ### 待評分的回覆: ## 國科學術及技術委員會 回覆民眾陳情  
c749d182-ba01-4693-bb1c-d409e1d8fb93,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 請撰寫一篇新聞稿，內容關於2023台灣創新技術博覽會（TIE）-未來科技館的盛大展出和頒獎典禮，包括TIE Award和未來科技獎的獲獎團隊、國科會主委吳政忠的致詞、展會的亮點
57b03447-824f-46b8-8cf0-2f6431953553,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 請你根據以下內容撰寫一份公文：主旨為「2023年臺灣科普環島列車」行前記者會及開幕典禮邀請陳院長致詞，內容包括活動背景、行前記者會及開幕典禮的詳細資訊，同時附上活動資訊1份，請
a37c23ed-f675-4ef2-a7f0-3dd0eddd7e29,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: [民眾建議將林口第一工業區與第二工業區升格，並設立太空總署，請相關單位依權責進行處理並回覆陳情人。]  民眾陳情如上述，幫我用國科會立場寫一篇回覆  ### 待評分的回覆: ：
303d17d4-e25e-49bf-804d-1b69d7ca8c3b,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 請撰寫一篇新聞稿，介紹國科會主辦的「擴散耦-科技與藝術的擴散、並行、融合」展覽，內容包括展覽主題、展出項目、展覽時間和地點等。  ### 待評分的回覆: 化學與生物研究所（國科
5fa2e816-d3ae-49e9-9499-5e7697405c05,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 民眾來信詢問：國科會針對研究職涯補助策略為何？以國科會專家語氣詳細說明。  ### 待評分的回覆: 好的，以下提供一份書函草稿，包含主旨與說明，您可以根據實際情況調整：  **
2d9b94ff-cc8a-4aed-9e9c-f14c5addc631,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 你是國科會負責回覆民眾陳情的人。請妳針對下列民眾陳情事項進行回覆: 【學校有具有學生與收容人雙重身分的學生欲申請國科會大專學生研究計畫，需了解相關法律與身份規定。另外，軍方營區
6353175d-0b2c-4990-8826-2bbd2a464e06,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 你能否幫我撰寫一份公文，內容是關於國家發展委員會函請本會就衛生福利部「後新冠疫情時代傳染病檢驗網絡」修正資料回復意見一案的回覆，請根據提供的公文內容，包括主旨、說明等部分，完成
4218881b-f09d-4176-bb0b-0e1313f94717,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 在立法院審查時，委員有以下提問：請問中科三期七星基地環評訴訟後續因應措施為何？麻煩用國科會專家語氣答覆。  ### 待評分的回覆: 委員您好，關於中科三期七星基地環評訴訟後續因
22afd258-659b-49d3-8d0c-30e5f1973316,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 請你根據以下內容撰寫一份公文：主旨為函轉經濟部水利署修正「經濟部水利署災害緊急應變小組作業要點」，內容包括依該署113年1月9日經水防字第11233050800號函辦理，檢附原
bf236cdb-1e91-40c7-8c1f-3c9b1ad50f28,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 【新竹科學園區勞工申訴存在問題，特別是在勞工權益保障方面，公司變更上班方式未經協商，應考慮開放匿名檢舉以保護檢舉人權利。】	民眾陳情如上述，請妳以國科會立場回覆  ### 待評
50b67b84-7092-4e5f-a2eb-d8312677a8bf,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 民眾投書問到：  國科會博士獎學金方案中，人文類獲獎率僅12%，是否代表其他領域獲獎率較高？  麻煩生成國科會可能提供的回覆。  ### 待評分的回覆: ## 國科會針對博士獎
593f943c-b93a-45a9-8118-48fe887e2887,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 有民眾寫信詢問：前瞻智慧互動實境顯示科技專案計畫與人才培育（110-113年），請寫一份單位窗口可能的回答。  ### 待評分的回覆: 化學工業局新聞稿  **科學工業園區審議
6785ea8c-344e-4b3b-81cc-fa3098156fdf,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 請你根據以下內容撰寫一份公文：主旨為環境部函請本會同意無償提供○年度所製作具環境教育意涵之影片一案，請核示。內容包括環境教育意涵之學習資源範圍、填寫環境教育學習資源清單及相關附
fc3d3db6-4f7b-409b-9e35-1491dadd7ed1,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 民眾投書問到。　細胞簡訊的運作說明是什麼？　以國科會專家語氣詳細說明。  ### 待評分的回覆: 舉世矚目的細胞簡訊（Cellular Messaging）技術，近年來在生物醫
deb3bbe6-79cb-4579-9d17-5f387cd6da80,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 請撰寫一篇新聞稿，介紹科技部推動的「精準運動科學研究專案計畫」，特別是國立成功大學體育健康與休閒研究所所研發的「AIOT智能羽球訓練模式」，以及其應用與未來發展。  ### 待
fbcc89c4-6d7f-4899-a81e-e60c06ad5524,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 委員詢問： 科學園區資訊業務集中後，為何仍有資訊業務相關費用？ 請以國科會人員專業回答。  ### 待評分的回覆: ## 新聞稿  **科技部產學小聯盟成果豐碩 智慧農業、空污
297bfe20-3d49-4dc0-9e5a-14b50a754774,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 這是委員質詢提到的問題。 科發基金持股數量及事業家數增多，如何強化管理？ 請你提供單位窗口擬答。  ### 待評分的回覆: 具備，針對委員質詢「氫能作為新興綠色能源，國科會與中
0f204b0a-d1ff-445a-b955-08c031b2b3ea,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 請撰寫一篇新聞稿，內容關於國立中山大學團隊開發出創新珊瑚養殖技術，萃取活性物質具有藥用潛力，並獲得天使投資成立新公司。  ### 待評分的回覆: 具體пресс-релиз如下
e5ec13f4-a5e4-446d-b262-ef1396f2785c,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 在立法院審查時，委員有以下提問。	請問太空計畫三期經費上調後，具體方向為何？國家火箭發射場的進度如何？何時送行政院？	麻煩寫一份單位窗口可能的回答。  ### 待評分的回覆: 
c7f82687-a488-48f8-b3a4-c6d511442330,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 請你根據以下內容撰寫一份公文：主旨為請於112年○月○日前提交貴單位112年資通安全維護計畫實施情形，內容需包含依「資通安全管理法」及「國家科學及技術委員會所管特定非公務機關資
3736709f-8042-42c5-8249-23eac7520d85,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 請以國科會角度回覆陳情:  「國科會的中科擴建二期計畫是否繼續向台中市政府報告？影響台積電2奈米計畫的開發進度，目前新竹和台中鎖定是否談妥水電問題，近期有無提送修正報告至台中市
aa9560e8-0d2c-46bd-af99-4d0828c72e6f,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 檢送訴願答辯書給訴願人，請提供函的主旨  ### 待評分的回覆: 字數不宜過長，以下提供幾個主旨範例，您可以根據實際情況選擇：  **簡潔型：**  *   主旨：檢送訴願答辯
773100a7-0b9b-490b-a778-6a9b450aede3,pending,N/A,N/A,False,N/A,N/A,"### 原始任務指令: 這裡有一篇民眾陳情：　""大學教授要求研究生上繳計畫案人事費並存入私人戶頭，請監督該教授經費流向以避免公款私用。""　請您模擬國科會的立場回覆  ### 待評分的回覆: ## 國科"
a17cd0f5-6cd7-4b7c-a4d7-2bf87e0e0c0c,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 你是國科會負責回覆民眾陳情的人。請協助針對下列民眾陳情事項進行回覆:	『永齡基金會申請使用國科會圖檔，以撰寫人工智慧概論書，推動台灣AI教育』  ### 待評分的回覆: ，以下
4a9ca875-8528-4a88-87f3-1adff535123d,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 請你根據提供的公文內容，撰寫一份公文，內容包括檢送「113年機關綠色採購績效評核方法」，並請相關單位據以辦理，以達成113年綠色採購指定採購項目比率95%之目標，同時附上環境部
8e350e79-2bdf-4c96-91aa-dd6ca4b9332f,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 麻煩你依照國科會角度回覆陳情。	『陳情人已等待學術倫理審查結果超過一個月，尚未收到回覆，請盡快提供審查結果。』  ### 待評分的回覆: 度您好，我是國科會量子科技發展辦公室的
f17f6a5d-4ecc-48fa-a196-0cff62e0179b,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 你是國科會負責回覆民眾陳情的人。請你針對下列民眾陳情事項進行回覆：　「某教授在國際學術平台Pubpeer上涉嫌造假或變更研究資料，且其在多篇論文中為通訊作者或第一作者，相關證據
627efd7d-f7ab-4b36-9ab0-68743ae79086,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 在立院審查時，委員有以下提問：『生成式AI在學術研究中的應用，是否會造成學術倫理問題？請生成國科會可能提供的回覆。』  ### 待評分的回覆: 「2023臺灣量子科技國際研討會
b8f87227-c983-479f-b873-8646d8d42bd8,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 請你根據以下內容撰寫一份公文：主旨為「有關教育部『2023年第四屆臺灣科學節』起跑記者會邀請卡請主委共同署名一案，簽請核示」，內容包括活動背景、共同主辦單位、活動主題、活動內容
3c1bbad8-d4e1-4ede-80f1-24cef7ae05f1,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 委員有以下疑問：　政府是否針對雄獅旅遊上海商銀電子發票整合服務平台等公私領域資安事件，採取有效措施，以確保民眾資料安全？　提供單位窗口擬答。  ### 待評分的回覆: 單位窗口
d258cdc1-3787-4fd7-81a8-33afde03d51f,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 以下是民眾詢問：科技顧問會議辦理進度如何？請你提供單位窗口擬答。  ### 待評分的回覆: 有鑑於您詢問科技顧問會議辦理進度，以下提供單位窗口擬答，請您參考：  **擬答：**
e8445676-5ec7-4a6f-a9d9-6b3b570f3e10,pending,N/A,N/A,False,N/A,N/A,### 原始任務指令: 幫我依照國科會角度回覆此陳情。  【南科南路與南科九路每天早上0720至0900間，機車闖紅燈至待轉區，建議設科技執法設備或加強警察取締違規。】  ### 待評分的回覆: 各位
